21 Sep 2024 - 20:05:15.015 [main] INFO  org.example.ChoparApplication - Starting ChoparApplication using Java 17.0.10 with PID 13048 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar)
21 Sep 2024 - 20:05:15.035 [main] INFO  org.example.ChoparApplication - The following 1 profile is active: "dev"
21 Sep 2024 - 20:05:16.271 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
21 Sep 2024 - 20:05:16.391 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 111 ms. Found 7 JPA repository interfaces.
21 Sep 2024 - 20:05:17.078 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
21 Sep 2024 - 20:05:17.091 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
21 Sep 2024 - 20:05:17.091 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
21 Sep 2024 - 20:05:17.162 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21 Sep 2024 - 20:05:17.163 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2080 ms
21 Sep 2024 - 20:05:17.302 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
21 Sep 2024 - 20:05:17.388 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
21 Sep 2024 - 20:05:17.429 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
21 Sep 2024 - 20:05:17.765 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
21 Sep 2024 - 20:05:17.795 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
21 Sep 2024 - 20:05:17.984 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5b5b53c6
21 Sep 2024 - 20:05:17.986 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
21 Sep 2024 - 20:05:18.038 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
21 Sep 2024 - 20:05:19.392 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
21 Sep 2024 - 20:05:19.605 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
21 Sep 2024 - 20:05:19.843 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
21 Sep 2024 - 20:05:21.543 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
21 Sep 2024 - 20:05:21.599 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
21 Sep 2024 - 20:05:21.601 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
21 Sep 2024 - 20:05:22.506 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
21 Sep 2024 - 20:05:22.519 [main] INFO  org.example.ChoparApplication - Started ChoparApplication in 8.028 seconds (process running for 8.81)
21 Sep 2024 - 20:05:22.668 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/chopar_db (PostgreSQL 14.11)
21 Sep 2024 - 20:05:22.742 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.048s)
21 Sep 2024 - 20:05:22.764 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
21 Sep 2024 - 20:05:22.768 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
21 Sep 2024 - 20:05:44.461 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21 Sep 2024 - 20:05:44.461 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
21 Sep 2024 - 20:05:44.463 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
21 Sep 2024 - 20:06:14.075 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
21 Sep 2024 - 20:06:14.102 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
21 Sep 2024 - 20:06:14.107 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
21 Sep 2024 - 20:06:19.365 [main] INFO  org.example.ChoparApplication - Starting ChoparApplication using Java 17.0.10 with PID 17096 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar)
21 Sep 2024 - 20:06:19.383 [main] INFO  org.example.ChoparApplication - The following 1 profile is active: "dev"
21 Sep 2024 - 20:06:20.559 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
21 Sep 2024 - 20:06:20.666 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 100 ms. Found 7 JPA repository interfaces.
21 Sep 2024 - 20:06:21.282 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
21 Sep 2024 - 20:06:21.298 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
21 Sep 2024 - 20:06:21.299 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
21 Sep 2024 - 20:06:21.386 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21 Sep 2024 - 20:06:21.387 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1956 ms
21 Sep 2024 - 20:06:21.557 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
21 Sep 2024 - 20:06:21.604 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
21 Sep 2024 - 20:06:21.640 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
21 Sep 2024 - 20:06:21.945 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
21 Sep 2024 - 20:06:21.973 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
21 Sep 2024 - 20:06:22.122 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6480a063
21 Sep 2024 - 20:06:22.124 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
21 Sep 2024 - 20:06:22.164 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
21 Sep 2024 - 20:06:23.361 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
21 Sep 2024 - 20:06:23.499 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
21 Sep 2024 - 20:06:23.830 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
21 Sep 2024 - 20:06:25.391 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
21 Sep 2024 - 20:06:25.465 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
21 Sep 2024 - 20:06:25.467 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
21 Sep 2024 - 20:06:26.295 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
21 Sep 2024 - 20:06:26.312 [main] INFO  org.example.ChoparApplication - Started ChoparApplication in 7.383 seconds (process running for 8.05)
21 Sep 2024 - 20:06:26.467 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/chopar_db (PostgreSQL 14.11)
21 Sep 2024 - 20:06:26.533 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.048s)
21 Sep 2024 - 20:06:26.553 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
21 Sep 2024 - 20:06:26.557 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
21 Sep 2024 - 20:06:34.599 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21 Sep 2024 - 20:06:34.600 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
21 Sep 2024 - 20:06:34.603 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
21 Sep 2024 - 20:09:13.738 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
21 Sep 2024 - 20:09:13.741 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
21 Sep 2024 - 20:09:13.745 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
21 Sep 2024 - 20:09:19.669 [main] INFO  org.example.ChoparApplication - Starting ChoparApplication using Java 17.0.10 with PID 7248 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar)
21 Sep 2024 - 20:09:19.686 [main] INFO  org.example.ChoparApplication - The following 1 profile is active: "dev"
21 Sep 2024 - 20:09:20.799 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
21 Sep 2024 - 20:09:20.896 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 89 ms. Found 7 JPA repository interfaces.
21 Sep 2024 - 20:09:21.494 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
21 Sep 2024 - 20:09:21.507 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
21 Sep 2024 - 20:09:21.508 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
21 Sep 2024 - 20:09:21.581 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21 Sep 2024 - 20:09:21.582 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1845 ms
21 Sep 2024 - 20:09:21.729 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
21 Sep 2024 - 20:09:21.784 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
21 Sep 2024 - 20:09:21.824 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
21 Sep 2024 - 20:09:22.121 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
21 Sep 2024 - 20:09:22.144 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
21 Sep 2024 - 20:09:22.297 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6814262d
21 Sep 2024 - 20:09:22.299 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
21 Sep 2024 - 20:09:22.345 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
21 Sep 2024 - 20:09:23.621 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
21 Sep 2024 - 20:09:23.795 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
21 Sep 2024 - 20:09:24.010 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
21 Sep 2024 - 20:09:25.387 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
21 Sep 2024 - 20:09:25.422 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
21 Sep 2024 - 20:09:25.423 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
21 Sep 2024 - 20:09:26.244 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
21 Sep 2024 - 20:09:26.256 [main] INFO  org.example.ChoparApplication - Started ChoparApplication in 7.087 seconds (process running for 7.759)
21 Sep 2024 - 20:09:26.412 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/chopar_db (PostgreSQL 14.11)
21 Sep 2024 - 20:09:26.469 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.041s)
21 Sep 2024 - 20:09:26.488 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
21 Sep 2024 - 20:09:26.492 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
21 Sep 2024 - 20:09:29.593 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21 Sep 2024 - 20:09:29.593 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
21 Sep 2024 - 20:09:29.595 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
21 Sep 2024 - 20:11:54.233 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
21 Sep 2024 - 20:11:54.235 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
21 Sep 2024 - 20:11:54.239 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
21 Sep 2024 - 20:11:59.694 [main] INFO  org.example.ChoparApplication - Starting ChoparApplication using Java 17.0.10 with PID 15712 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar)
21 Sep 2024 - 20:11:59.707 [main] INFO  org.example.ChoparApplication - The following 1 profile is active: "dev"
21 Sep 2024 - 20:12:00.820 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
21 Sep 2024 - 20:12:00.941 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 112 ms. Found 7 JPA repository interfaces.
21 Sep 2024 - 20:12:01.632 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
21 Sep 2024 - 20:12:01.651 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
21 Sep 2024 - 20:12:01.652 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
21 Sep 2024 - 20:12:01.759 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21 Sep 2024 - 20:12:01.760 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2009 ms
21 Sep 2024 - 20:12:01.982 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
21 Sep 2024 - 20:12:02.038 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
21 Sep 2024 - 20:12:02.069 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
21 Sep 2024 - 20:12:02.495 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
21 Sep 2024 - 20:12:02.541 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
21 Sep 2024 - 20:12:02.748 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@6be50b35
21 Sep 2024 - 20:12:02.750 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
