15 Sep 2024 - 12:40:05.311 [main] INFO  org.example.ChoparApplication - Starting ChoparApplication using Java 17.0.10 with PID 9132 (D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar\target\classes started by Hp victus in D:\Code_uz\Hojiakbar\JDBC_Spring_Project\Spring_Project\Chopar)
15 Sep 2024 - 12:40:05.357 [main] INFO  org.example.ChoparApplication - The following 1 profile is active: "dev"
15 Sep 2024 - 12:40:06.556 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15 Sep 2024 - 12:40:06.676 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 111 ms. Found 3 JPA repository interfaces.
15 Sep 2024 - 12:40:07.283 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
15 Sep 2024 - 12:40:07.295 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
15 Sep 2024 - 12:40:07.296 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
15 Sep 2024 - 12:40:07.397 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15 Sep 2024 - 12:40:07.398 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1972 ms
15 Sep 2024 - 12:40:07.528 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
15 Sep 2024 - 12:40:07.580 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
15 Sep 2024 - 12:40:07.617 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
15 Sep 2024 - 12:40:07.935 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
15 Sep 2024 - 12:40:07.958 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
15 Sep 2024 - 12:40:08.098 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@9880a15
15 Sep 2024 - 12:40:08.100 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
15 Sep 2024 - 12:40:08.139 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
15 Sep 2024 - 12:40:09.338 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
15 Sep 2024 - 12:40:09.449 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
15 Sep 2024 - 12:40:09.726 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
15 Sep 2024 - 12:40:10.956 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
15 Sep 2024 - 12:40:11.003 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
15 Sep 2024 - 12:40:11.004 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
15 Sep 2024 - 12:40:11.904 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
15 Sep 2024 - 12:40:11.921 [main] INFO  org.example.ChoparApplication - Started ChoparApplication in 7.165 seconds (process running for 7.889)
15 Sep 2024 - 12:40:12.104 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/chopar_db (PostgreSQL 14.11)
15 Sep 2024 - 12:40:12.172 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.036s)
15 Sep 2024 - 12:40:12.188 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
15 Sep 2024 - 12:40:12.191 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
15 Sep 2024 - 12:40:16.846 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
15 Sep 2024 - 12:40:16.848 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
15 Sep 2024 - 12:40:16.857 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
